 $/ sq ft ,Sale Price,List Price,>90 Day Before Sale Zestimate,$ / sq ft for keywords,Close Date,Street Number,Street Name,Street Suffix,City,County,Zip5,,Beds Total,Baths.Lavs,Est Fin Abv Grd SqFt,Acreage,Architecture Level,Architecture Style, $/ sq ft ,Basement Type,,Sale Price,Exterior,Cooling,Exterior Features,Garage Dimensions,Garage Features,Garage Size,Heating,Original List Price,Photo Count,Pool YN,PUBLIC REMARKS,Avg,Count,Without,SqFt-Est Tot Fin,SqFt-Est Fin Lower Floor,SqFt-Est Fin Abv Grd,SqFt-Est Tot Bsmt,Year Built,Year Remodeled,Porch Type
 $ 98 ,170000,178000,"$190,000",$210,04/16/2018,1013,GENESEE,Drive,Royal Oak,Oakland,48073,,3,2,1731,0.5,1 1/2 Story,Cape Cod, $ 98 ,,,170000,Aluminum,,,,Attached,2 Car,Forced Air,199900,11,FALSE,"GREAT LOCATION, 3 BEDROOM 2 FULL BATH BUNGALOW, 2 CAR ATTACHED GARAGE.   HOUSE NEEDS WORK, GREAT FOR INVESTORS TO FLIP OR DEMO AND BUILT YOUR DREAM HOME ON THIS LARGE HALF ACRE PROPERTY.   ROOM SIZES ESTIMATED , INFORMATION DEEMED RELIABLE BUT NOT GUARANTEED. BATVAI",$200,154,$196,"1,726",700,"1,026",807,1952,,"Patio, Porch"
 $ 99 ,181000,179900,"$255,000",$155,08/22/2018,3266,HARVARD,Road,Royal Oak,Oakland,48073,,3,1.1,1824,0.25,1 Story,Ranch, $ 99 ,,,181000,Other,,Fenced,,"Attached, Direct Access",1 Car,Forced Air,199900,2,FALSE,HANDYMAN INVESTOR SPECIAL!   EXTRA LARGE LOT - 80 FEET WIDE!  PRICED TO SELL!  GREAT NEIGHBORHOOD IN NORTH ROYAL OAK. COME MAKE THIS YOUR OWN.,$197,154,$196,"1,910",700,"1,210",800,1949,2015,Deck
 $ 103 ,165500,199900,"$300,000",$200,12/03/2018,708,CAMPBELL,,ROYAL OAK,Oakland,48067,,4,1,1614,0.25,1 1/2 Story,Bungalow, $ 103 ,,,165500,Aluminum,Central Air,"Fenced, Outside Lighting",,"Detached, Door Opener, Electricity",2 Car,Forced Air,199900,21,FALSE,"SPACIOUS FOUR-BEDROOM VINTAGE HOME BUILT IN 1912, SITUATED ON A LARGE ~ ACRE (98? X 110?) LOT WITH A TWO-CAR DETACHED GARAGE. HUGE FRONT PORCH, FORMAL DINING ROOM AND LARGE LIVING ROOM WITH A NATURAL FIREPLACE. FULL BASEMENT. FENCED YARD. READY FOR YOUR RENOVATION. IMMEDIATE OCCUPANCY AT CLOSING.",$217,154,$196,"1,764",,"1,764","1,128",1923,,Porch - Enclosed
 $ 105 ,290000,300000,"$430,000",$201,06/04/2018,2607,CARMAN,Avenue,Royal Oak,Oakland,48073,,4,3,2773,0.21,2 Story,Colonial, $ 105 ,,,290000,"Brick, Vinyl","Ceiling Fans 2+, Central Air","Fenced, Outside Lighting",20x20,"Attached, Direct Access, Door Opener, Electricity",2 Car,"Forced Air, Radiant",325000,31,FALSE,"RARE FIND! LIVE LARGE IN THIS ALMOST 2800 SQ. FT COLONIAL IN A VERY CENTRAL ROYAL OAK LOCATION. BRIGHT UPDATED GRANITE KITCHEN WITH EAT-IN AREA. DINING ROOM AREA OFF  KITCHEN IS HUGE - GREAT FOR BIG FAMILY GATHERINGS; OR DIVIDE SPACE AND CREATE A SITTING AREA OFF THE DINING ROOM IF YOU WISH. LIVING ROOM ANCHORED BY NATURAL FIREPLACE; BUILT-IN BOOKSHELVES. HUGE FIRST FLOOR MASTER SUITE W/ BATHROOM AND 10 X 9 WALK-IN-CLOSET. OR, USE AS FAMILY ROOM AND LIBRARY INSTEAD, YOUR CHOICE! SECOND FLOOR BOASTS ANOTHER LARGE MASTER (OR JUNIOR) SUITE; PRIVATE BATH WITH JETTED TUB AND LARGE 10 X 8 WALK-IN-CLOSET. NICE SIZED BEDROOMS PLUS ADDITIONAL FULL BATH. SECOND FLOOR LAUNDRY ROOM. RADIANT HEATED FLOORS AND CENTRAL AIR ON THE FIRST FLOOR. GFA /CA ON THE SECOND FLOOR. LOVELY PRIVATE  PAVER PATIO OFF KITCHEN, PLUS FULLY FENCED BACKYARD. SIDE ACCESS TO ATTACHED TWO-CAR GARAGE. GREAT LOCATION WALKING DISTANCE TO JANE ADDAMS ELEMENTARY SCHOOL. CLOSE TO BEAUMONT SO MUCH SPACE IN THIS HOME TO LOVE,",$232,154,$177,936,,936,936,1953,,Porch
 $ 105 ,125000,159900,"$226,000",$206,04/23/2018,2931,ROCHESTER,Road,Royal Oak,Oakland,48073,,3,1,1191,0.13,2 Story,Bungalow, $ 105 ,Unfinished,,125000,Vinyl,"Ceiling Fans 2+, Central Air","Fenced, Outside Lighting",,"Attached, Electricity",1 Car,Forced Air,174999,25,FALSE,,$155,3,$196,"1,792",728,"1,064",728,1949,2017,"Deck, Porch"
 $ 105 ,162000,169900,"$250,000",$207,04/23/2018,134,Thirteen Mile,Road,Royal Oak,Oakland,48073,,3,1.2,1542,0.31,2 Story,Colonial, $ 105 ,Unfinished,,162000,Vinyl,Window Unit,"Fenced, Outside Lighting",,"Detached, Door Opener, Electricity",2 Car,Forced Air,175900,17,FALSE,"ENDLESS OPPORTUNITIES WITH THIS CHARMING COLONIAL JUST MINUTES FROM DOWNTOWN ROYAL OAK! THIS HOME FEATURES 3 BEDROOMS, 1 FULL AND 2 HALF BATHS, FORMAL DINING ROOM, LIVING ROOM W/WINDOWS LETTING IN NATURAL LIGHT, NEWER ELECTRICAL BOX, LARGE ENCLOSED PORCH IN FRONT, SPACIOUS FAMILY ROOM W/WOOD PANELING, NEWER PLUMBING, WOOF FLOORING IN UPPER LEVEL BEDROOMS, 2-CAR DETACHED GARAGE, KITCHEN W/WOOD CABINETS & NEWER VINYL SIDING, ORIGINAL WOODWORK. ^OVER SIZED LOT THAT CAN BE SPLIT^. **PROPERTY IS BEING SOLD AS-IS**",$143,3,$196,949,,949,928,1958,2018,Porch - Covered
 $ 109 ,144000,150000,"$255,000",$205,08/15/2018,311,TWELVE MILE,Road,Royal Oak,Oakland,48073,,4,2.1,1320,0.14,2 Story,Colonial, $ 109 ,Unfinished,,144000,Aluminum,Ceiling Fans 2+,Fenced,,,No Garage,Hot Water,175000,16,FALSE,THIS IS PRICED TO SELL QUICKLY! INVESTORS DREAM 4 BEDROOMS AND 2.5 BATHS. HARDWOOD FLOORS ON MAIN FLOOR  INCLUDES HOME WARRANTY,$185,154,$196,"1,835",400,"1,435",600,1945,,"Patio, Porch"
 $ 110 ,145000,179000,"$250,000",$208,11/28/2018,3134,HARVARD,Road,Royal Oak,Oakland,48073,,3,1.1,1324,0.12,1 1/2 Story,Bungalow, $ 110 ,Unfinished,,145000,Vinyl,"Attic Fan, Ceiling Fans 2+",,,,No Garage,Forced Air,190000,35,FALSE,"SELLER MOTIVATED! BRING ALL OFFERS, PRICED TO SELL , WELCOME HOME TO THIS SWEET BUNGALOW CLOSE TO EVERYTHING IN ROYAL OAK, BIRMINGHAM AND JUST WAITING FOR YOUR PERSONAL TOUCHES.  LIVING ROOM WITH LARGE PICTURE WINDOW AND  COVE CEILING WITH RECESSED LIGHTING, HARDWOOD FLOORS. EXTRA LARGE FAMILY ROOM WITH  NATURAL WOOD BURNING FIREPLACE . ALSO  1/2 HALF BATH,  3 BEDROOMS, FULL BASEMENT.  CLOSE TO WOODWARD AND BEAUMONT HOSPITAL.  NEWER KITCHEN, COVERED FRONT PORCH, PRIVACY FENCE IN BACK YARD WITH SHED FOR EXTRA STORAGE. IMMEDIATE OCCUPANCY !",$164,9,$196,"1,193",,"1,193",,1959,2018,"Deck, Patio, Porch - Covered"
 $ 112 ,228500,248900,"$330,000",$219,12/18/2018,1004,OTTAWA,Drive,Royal Oak,Oakland,48073,,2,1.1,2047,0.5,1 Story,Ranch, $ 112 ,Partially Finished,,228500,"Aluminum, Brick",Central Air,Fenced,,"Detached, Tandem, Workshop",4 Car,Forced Air,350000,24,FALSE,"RARE FIND IN ROYAL OAK - MAINTENANCE FREE BRICK/VINYL HOME WITH WRAP-AROUND PORCH - OVER-SIZED 4+ CAR TANDEM GARAGE. PLENTY OF ROOM IN THE GARAGE TO STORE VEHICLES, RV/BOAT 2 STORY HIGH - SECOND OVERHEAD DOOR OFF BACK . ALL THIS AND IT SITS ON A LARGE 1/2 ACRE LOT .  GREAT PLACE TO RAISE A FAMILY. TWO LARGE BEDROOMS WITH OPTION FOR THIRD . LARGE SECOND LIVING AREA COMPLETE WITH WET BAR WHICH OVERLOOKS THE COVERED PORCH, LARGE DECK AND BEAUTIFUL FENCED BACKYARD. LARGE  BASEMENT W/FULL BATH POTENTIAL SPACE FOR ADDITIONAL BEDROOM. UPPER ATTIC / LOFT AREA LARGE ENOUGH FOR ADDITIONAL STORAGE OR BEDROOM. TWO A/C AND FURNACE FOR MAXIMUM COMFORT IN THIS OVER 2000 SQ FT HOME.",$181,20,$196,"1,811",500,"1,311",823,1952,,"Deck, Porch"
 $ 113 ,128550,149900,"$208,000",$240,11/08/2018,3104,STARR,Road,Royal Oak,Oakland,48073,,3,1,1137,0.12,1 Story,Ranch, $ 113 ,,,128550,Aluminum,,,,Attached,2 Car,Forced Air,159900,25,FALSE,STARTER HOME. NEEDS RENOVATING. HARDWOOD UNDER CARPET. CORNER LOT WITH 2 CAR ATTACHED GARAGE AND SIDE PAD FOR CAMPER/BOAT ETC. JUST STEPS FROM MEMORIAL PARK. MAKE IT YOUR OWN!,$202,154,$196,"1,010",,"1,010",798,1949,,Porch - Covered
